UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE GENDER,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,,,,
P.079_N.03,PAHANG,P.079,LIPIS,N.03,PADANG TENGKU,BN - UMNO,,19407,507,79.85,15497,47,182,15268,UMNO,MUSTAPA LONG,MALE,61,7198,PAN,RUZI @ NATA BIN YUSUFF,MALE,54,1203,PAS,KHAIDER KAMIL,MALE,,6691,PEJUANG,MOHD ROSTAM BIN MUSTAPHA,MALE,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.079_N.04,PAHANG,P.079,LIPIS,N.04,CHEKA,PN - PAS,,16822,1223,74.69,12565,41,143,12381,MCA,HO FONG MEE,MALE,58,4411,PKR,RASID BIN MUHAMAD,MALE,63,2255,PAS,TUAN IBRAHIM,MALE,62,5634,PEJUANG,AISHATON BINTI ABU BAKAR,FEMALE,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.079_N.05,PAHANG,P.079,LIPIS,N.05,BENTA,BN - UMNO,,10895,1521,76.01,8281,18,74,8189,UMNO,DATO SRI SOFFI TAN SRI RAZAK,MALE,66,3948,PKR,RIZAL BIN JAMIN,MALE,49,2427,PPBM,CIKGU EMBONG LIAS,MALE,,1814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.080_N.06,PAHANG,P.080,RAUB,N.06,BATU TALAM,BN - UMNO,,19683,2869,78.10,15373,32,257,15084,UMNO,ABD AZIZ BIN MAT KIRAM,MALE,62,7992,PKR,SHAHUDDIN BIN ABDUL RAHMAN,MALE,64,1969,PPBM,AHMAD SABRI BIN MAT DUI,MALE,33,5123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.080_N.07,PAHANG,P.080,RAUB,N.07,TRAS,PH - DAP,,38329,11397,73.05,28000,57,257,27686,MCA,LIM TECK HOE,MALE,46,5858,DAP,TENGKU ZULPURI SHAH BIN RAJA PUJI,MALE,58,17255,GERAKAN,AMIRUL KUEK,MALE,,4233,PEJUANG,USTAZ TAHIR,MALE,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.080_N.08,PAHANG,P.080,RAUB,N.08,DONG,BN - UMNO,,17052,1046,80.49,13725,33,145,13547,UMNO,FADZLI BIN MOHAMAD KAMAL,MALE,42,6142,PAN,MOHD JAWAAD,MALE,37,2309,PAS,TENGKU AMIR,MALE,,5096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.081_N.09,PAHANG,P.081,JERANTUT,N.09,TAHAN,PN - PAS,,20895,2014,79.30,16569,38,267,16264,UMNO,FAEZAH ISHAK,FEMALE,35,6763,PAN,TALIB TAHAR,MALE,59,724,PAS,USTAZ ZAKUAN,MALE,,8777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.081_N.10,PAHANG,P.081,JERANTUT,N.10,DAMAK,PN - PAS,,34967,2296,76.09,26606,81,318,26207,UMNO,FASAL JAMLUS,MALE,,6655,PKR,MOHAMAD RAFLY BIN MOHD SATAR,MALE,61,8587,PAS,ZURIDAN BIN MOHD DAUD,MALE,51,10883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CLOCK,IZZUDDIN BIN ISMAIL,MALE,,82,,,,,,,,,,,,,,,,,,,
P.081_N.11,PAHANG,P.081,JERANTUT,N.11,PULAU TAWAR,PN - PAS,,31189,3403,78.87,24599,64,296,24239,UMNO,DATO' HJ. NAZRI BIN NGAH,MALE,64,9552,PAN,NORANI IJAM,MALE,53,1129,PAS,USTAZ YOHANIS,MALE,,12955,PEJUANG,MOHD ROSIDI BIN HASSAN,MALE,,50,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,DATO' RIDZUAN BIN MANSOR,MALE,48,553,,,,,,,,,,,,,,,,,,,
P.082_N.12,PAHANG,P.082,INDERA MAHKOTA,N.12,BESERAH,PN - PAS,,59370,11521,78.61,46669,185,405,46079,UMNO,DATO' INDERA HAJI MUSTAFFAR KAMAL BIN HAJI AB HAMID,MALE,68,9346,PAN,HAJI ZULKIFLI MOHAMED,MALE,49,12346,PAS,ANDANSURA RABU,MALE,,23867,PEJUANG,CIKGU MOHD PAUZI,MALE,,394,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,JOSEPH TANG,MALE,45,126,,,,,,,,,,,,,,,,,,,
P.082_N.13,PAHANG,P.082,INDERA MAHKOTA,N.13,SEMAMBU,PH - PKR,,61179,1804,78.01,47723,76,405,47242,UMNO,HAJI KHAIRUL HISHAM B. OMAR,MALE,,10422,PKR,CHAN CHUN KUANG,MALE,30,18902,PAS,ZULFADLI ZAKARIAH,MALE,,17098,BERJASA,DR RASHIDAH BINTI ABDUL RAHMAN,FEMALE,,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.083_N.14,PAHANG,P.083,KUANTAN,N.14,TERUNTUM,PH - PKR,,30854,8679,72.53,22377,51,183,22143,MCA,MISTY@TEE CHOON SER,FEMALE,41,4304,PKR,SIM CHON SIANG,MALE,56,12983,GERAKAN,RANNDY YAP,MALE,,3676,PEJUANG,KHAIRUL AFIFIE BIN ABDULLAH,MALE,,1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.083_N.15,PAHANG,P.083,KUANTAN,N.15,TANJUNG LUMPUR,PN - PAS,,38185,8989,80.48,30730,52,306,30372,UMNO,NARA NORDIN,MALE,,7710,PAN,HAJAH SABRINA,FEMALE,56,5796,PAS,USTAZ ROSLI ABDUL JABAR,MALE,,16699,PEJUANG,AB 'ALIM BIN RUSLAM AHMAD,MALE,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.083_N.16,PAHANG,P.083,KUANTAN,N.16,INDERAPURA,BN - UMNO,,18558,922,83.03,15408,19,159,15230,UMNO,DATO' SRI HAJI SHAFIK FAUZAN BIN SHARIF,MALE,57,7029,PKR,HAJI FAKHRUL ANUAR BIN ZULKAWI,MALE,53,2030,PAS,TOK HAFIZAL,MALE,,6107,PEJUANG,NORASHIKIN BINTI ISMAIL,FEMALE,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.084_N.17,PAHANG,P.084,PAYA BESAR,N.17,SUNGAI LEMBING,PN - PAS,,19130,1054,77.78,14880,14,172,14694,UMNO,DATO' HAJI UMOR ARBAIN BIN DOLLAH,MALE,64,5908,PKR,DATO SRI AHMAD OMAR,MALE,66,1738,PAS,AYUB ASHRI,MALE,,6962,PEJUANG,MEJAR ANUAR TAJUDDIN (B),MALE,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.084_N.18,PAHANG,P.084,PAYA BESAR,N.18,LEPAR,PN - PPBM,,25728,419,78.43,20179,38,419,19722,UMNO,DATO' ABD RAHIM BIN MUDA,MALE,57,8017,PAN,IBROHIM MAZALAN,MALE,39,3166,PPBM,MOHD YAZID BIN MOHD YUNUS,MALE,,8436,PEJUANG,Ir. ROSMINAHAR,MALE,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.084_N.19,PAHANG,P.084,PAYA BESAR,N.19,PANCHING,PN - PAS,,34886,7136,79.87,27864,41,252,27571,UMNO,FAUZIAH BINTI ABD WAHAB,FEMALE,59,8031,PKR,HASLINDALINA HASHIM,FEMALE,48,4243,PAS,USTAZ MOHD TARMIZI YAHAYA,MALE,,15167,PEJUANG,AFIF SYAIROL,MALE,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.085_N.20,PAHANG,P.085,PEKAN,N.20,PULAU MANIS,PN - PAS,,30113,3931,81.12,24427,53,276,24098,UMNO,KHAIRUDDIN BIN MAHMUD,MALE,70,9133,DAP,KHAIRIL KHALID,MALE,33,1901,PAS,RAFIQ KHAN,MALE,,13064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.085_N.21,PAHANG,P.085,PEKAN,N.21,PERAMU JAYA,BN - UMNO,,41915,7823,81.00,33952,98,299,33555,UMNO,MOHAMAD NIZAR BIN MOHAMAD NAJIB,MALE,44,19337,PAN,TUGIMON BIN ABDUL HAMID,MALE,64,2511,PPBM,CIKGU TALIB,MALE,,11514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HOUSE,TENGKU DATO' HISHAM,MALE,,193,,,,,,,,,,,,,,,,,,,
P.085_N.22,PAHANG,P.085,PEKAN,N.22,BEBAR,BN - UMNO,,21294,6273,75.12,15997,32,402,15563,UMNO,MOHAMMAD FAKHRUDDIN BIN MOHD ARIFF,MALE,52,10485,PAN,IBRAHIM BIN SULAIMAN,MALE,64,866,PPBM,NARZATUL HAIDAR BIN SAKIM,MALE,,4212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.085_N.23,PAHANG,P.085,PEKAN,N.23,CHINI,BN - UMNO,,26121,2125,77.50,20244,40,320,19884,UMNO,MOHD SHARIM BIN MD ZAIN,MALE,43,10588,PKR,MOHAMAD YAZID BIN CHE MAT,MALE,48,833,PAS,RAZI JALAL,MALE,,8463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.086_N.24,PAHANG,P.086,MARAN,N.24,LUIT,PN - PAS,,16279,1166,77.38,12596,35,139,12422,UMNO,JAMALUDDIN MD. MARZUKI,MALE,45,4836,PKR,MOHD. AFANDI ABD. RANI,MALE,58,1584,PAS,MOHD SOFIAN BIN ABD JALIL,MALE,57,6002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.086_N.25,PAHANG,P.086,MARAN,N.25,KUALA SENTUL,PN - PPBM,,17434,241,75.89,13231,36,181,13014,UMNO,KHAIRUDDIN ALI,MALE,,5775,PKR,AMRAN BIN TAHIR,MALE,47,1223,PPBM,JASRI BIN JAMALUDIN,MALE,53,6016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.086_N.26,PAHANG,P.086,MARAN,N.26,CHENOR,PN - PAS,,19415,2706,81.58,15838,38,159,15641,UMNO,SAIFUL ANUAR MOKHTAR,MALE,,6149,PAN,SHAM SUKIE,MALE,48,637,PAS,USTAZ MUJIBUR RAHMAN,MALE,46,8855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.087_N.27,PAHANG,P.087,KUALA KRAU,N.27,JENDERAK,BN - UMNO,,13994,1454,78.99,11054,12,231,10811,UMNO,RODZUAN BIN ZAABA,MALE,53,5409,PKR,MOHAMAD HAFEZ BIN HARUN,MALE,45,1447,PAS,USTAZ MD ANUAR BIN DAUD,MALE,,3955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.087_N.28,PAHANG,P.087,KUALA KRAU,N.28,KERDAU,BN - UMNO,,15184,1929,80.85,12277,19,137,12121,UMNO,SYED IBRAHIM BIN SYED AHMAD,MALE,55,6531,PAN,AHMAD ARIF BIN MD DAUD,MALE,30,988,PPBM,ARHAN SALUDIN @ CHENI,MALE,,4602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.087_N.29,PAHANG,P.087,KUALA KRAU,N.29,JENGKA,PN - PAS,,31359,6904,80.08,25111,73,213,24825,UMNO,NORHASMIMI BINTI ABDUL GHANI,FEMALE,47,8405,PAN,USTAZ JAMALUDDIN,MALE,56,1111,PAS,USTAZ HAJI SHAHRIL AZMAN BIN ABD HALIM AL HAFIZ,MALE,,15309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.088_N.30,PAHANG,P.088,TEMERLOH,N.30,MENTAKAB,PH - DAP,,37269,3657,77.01,28699,81,182,28436,MCA,WONG TZE SHIANG,MALE,43,5996,DAP,WOO CHEE WAN,MALE,63,12905,PPBM,CIKGU MOHD YUSOFF,MALE,,9248,PEJUANG,ABDUL WAHAB BIN KADIR,MALE,,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.088_N.31,PAHANG,P.088,TEMERLOH,N.31,LANCHANG,PN - PAS,,32774,451,77.45,25383,54,361,24968,UMNO,DATO' RAZMI BIN SUDIN,MALE,,9573,PKR,ROSLI ISMAIL,MALE,62,4840,PAS,HASAN OMAR,MALE,60,10024,PEJUANG,LT KOL ZAINI BIN MOHAMAD (B),MALE,55,328,,,,,,,,,,,,,,,,PRM,JAMIL YAAKUB,MALE,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.088_N.32,PAHANG,P.088,TEMERLOH,N.32,KUALA SEMANTAN,PN - PAS,,36786,1738,80.28,29532,83,272,29177,UMNO,DATO' NOR AZMI BIN MAT LUDIN,MALE,55,10648,PAN,AZIZUL SHAH,MALE,44,5918,PAS,HASSANUDDIN SALIM,MALE,54,12386,PEJUANG,SYAFIQ KHAIDIR,MALE,28,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.089_N.33,PAHANG,P.089,BENTONG,N.33,BILUT,PH - DAP,,24286,3111,77.01,18702,39,188,18475,MCA,WONG SIEW MUN,FEMALE,32,5784,DAP,LEE CHIN CHEN,MALE,,8895,GERAKAN,DATO' SRI CHANDRA BALABEDHA,MALE,46,3363,PEJUANG,MOHD SHOKRI,MALE,52,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.089_N.34,PAHANG,P.089,BENTONG,N.34,KETARI,PH - DAP,,30758,120,77.71,23902,46,242,23614,UMNO,AMIZAR BIN ABU ADAM,MALE,,9602,DAP,SU KEONG SIONG,MALE,56,9722,GERAKAN,WILLIAM TAN,MALE,,4290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.089_N.35,PAHANG,P.089,BENTONG,N.35,SABAI,BN - MIC,,15643,96,76.74,12005,24,136,11845,MIC,V. ARUMUGAM,MALE,58,4444,DAP,KAMACHE DORAY RAJOO,FEMALE,52,4348,PPBM,QOMAR,MALE,37,3053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.089_N.36,PAHANG,P.089,BENTONG,N.36,PELANGAI,BN - UMNO,,16371,4048,78.47,12846,18,164,12664,UMNO,JOHARI BIN HARUN,MALE,52,7308,PAN,AHMED WAFIUDDIN SHAMSURI,MALE,27,2031,PAS,CIKGU KASIM,MALE,61,3260,PEJUANG,ISA BIN AHMAD,MALE,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.090_N.37,PAHANG,P.090,BERA,N.37,GUAI,BN - UMNO,,24412,2678,79.50,19408,102,251,19055,UMNO,SABARIAH BINTI SAIDAN,FEMALE,,9425,PAN,HAJAH NORAINI ABDUL GHANI,FEMALE,,1906,PPBM,HJH NOR HASHIMAH,FEMALE,,6747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,JAFARI MOHD YUSOF,MALE,,977,,,,,,,,,,,,,,,,,,,
P.090_N.38,PAHANG,P.090,BERA,N.38,TRIANG,PH - DAP,,25891,6219,74.23,19218,11,237,18970,MCA,YEE CHENG HWA,MALE,44,4597,DAP,LEONG YU MAN,FEMALE,29,10816,PPBM,IZZUDDIN ZULKIFLI,MALE,,3557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.090_N.39,PAHANG,P.090,BERA,N.39,KEMAYAN,BN - UMNO,,27366,6913,79.95,21880,28,1209,20643,UMNO,KHAIZULNIZAM BIN MOHAMAD ZULDIN (ANGAH),MALE,,13778,,,,,,PAS,USTAZ SAFUAN HUSIN,MALE,61,6865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.091_N.40,PAHANG,P.091,ROMPIN,N.40,BUKIT IBAM,PN - PAS,,31003,2456,77.54,24040,56,368,23616,UMNO,DATIN HAJJAH SAMSIAH BINTI HAJI ARSHAD,FEMALE,64,10032,PKR,BARIRAH MOKHTAR,FEMALE,61,1096,PAS,USTAZ NAZRI,MALE,47,12488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.091_N.41,PAHANG,P.091,ROMPIN,N.41,MUADZAM SHAH,BN - UMNO,,29663,1234,76.64,22733,55,409,22269,UMNO,IR. RAZALI BIN KASSIM,MALE,,10990,PKR,NORLAILY FORIZAD,FEMALE,33,1523,PPBM,JAAFAR MUSTAFFA,MALE,52,9756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.091_N.42,PAHANG,P.091,ROMPIN,N.42,TIOMAN,BN - UMNO,,28465,573,58.39,16621,22,91,16508,UMNO,DATO' SRI HAJI MOHD JOHARI,MALE,49,8080,PAN,MOHD FADZLI BIN MOHD RAMLY,MALE,44,784,PAS,IDAYU HASHIM,FEMALE,35,7507,PUTRA,CIKGU OSMAN BAKAR,MALE,,79,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - PRAWN,SULAIMAN BIN BAKAR,MALE,57,58,,,,,,,,,,,,,,,,,,,
P.189_N.66,SABAH,P.189,SEMPORNA,N.66,BUGAYA,WARISAN,,32761,6629,56.09,18376,126,482,17768,UMNO,HJ ABD AZIZ BIN HJ MOHD IBNO,MALE,,4753,PKR,ARASTAM BIN PANDOROG,MALE,60,562,,,,,,PEJUANG,MOHD HASSAN BIN ABU BAKAR,MALE,,130,,,,,,,,,,,WARISAN,JAMIL BIN HAMZAH,MALE,,11382,PBM,NAZMAHWATI BINTI WALLI ,FEMALE,,98,PPRS,KARIL BIN PG. KURAINI,MALE,76,150,INDEPENDENT - SAMPAN,JUFAZLI BIN SHI AHMAD @ TONGKO,MALE,33,693,,,,,,,,,,,,,,,,,,,
