UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,TOTAL ELECTORATE,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE GENDER,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE
P.001,PERLIS,P.001,PADANG BESAR,60192,45288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WARISAN,KO CHU LIANG,MALE,,244,,,,,,,,,,,INDEPENDENT - BOOK,ZAHIDI BIN ZAINUL ABIDIN,MALE,61,1939,,,,,,,,,,,,,,,
P.002,PERLIS,P.002,KANGAR,74859,56200,,,,,,,,,,,,,,,,PEJUANG,USTAZ NUR SULAIMAN,MALE,34,708,,,,,,,,,,,WARISAN,PROF. DR. ROHIMI SHAPIEE,MALE,,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.003,PERLIS,P.003,ARAU,60876,46789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.004,KEDAH,P.004,LANGKAWI,66777,47480,,,,,,PAN,ZABIDI YAHYA,MALE,54,5417,,,,,,PEJUANG,MAHATHIR BIN MOHAMAD,MALE,96,4566,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,DATO PADUKA ABD KADIR,MALE,,89,,,,,,,,,,,,,,,
P.005,KEDAH,P.005,JERLUN,67601,52207,,,,,,PKR,DR MOHAMED FADZIL MOHD ALI,MALE,48,6149,,,,,,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,3144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.006,KEDAH,P.006,KUBANG PASU,108217,83402,,,,,,,,,,,,,,,,PEJUANG,AMIRUDDIN HAMZAH (TOK MET),MALE,60,5329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.007,KEDAH,P.007,PADANG TERAP,59806,48629,,,,,,PAN,MUAZ ABDULLAH,MALE,25,2702,,,,,,PEJUANG,RAZALI BIN LEBAI SALLEH,MALE,65,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.008,KEDAH,P.008,POKOK SENA,114838,87944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WARISAN,NORAINI BINTI MD SALLEH,FEMALE,60,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.009,KEDAH,P.009,ALOR SETAR,105994,76986,MCA,TAN CHEE HIONG,MALE,43,8930,,,,,,,,,,,PEJUANG,NUHAIRI RAHMAT,MALE,45,2383,,,,,,,,,,,WARISAN,FADZIL BIN HANAFI,MALE,64,366,,,,,,,,,,,INDEPENDENT - TREE,DATO' DR NORDIN YUNUS,MALE,69,115,INDEPENDENT - PEN,SOFAN FEROZA,MALE,,151,,,,,,,,,,
P.010,KEDAH,P.010,KUALA KEDAH,132500,100475,,,,,,,,,,,,,,,,PEJUANG,ULYA HUSAMUDIN,MALE,31,1805,,,,,,,,,,,WARISAN,PAK TUAN AL IDRUS,MALE,48,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.011,KEDAH,P.011,PENDANG,94547,75594,,,,,,PKR,DATO ZUL,MALE,52,8058,,,,,,GB,RASHID YOB,MALE,43,809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.012,KEDAH,P.012,JERAI,105001,82293,,,,,,,,,,,,,,,,GB,DATUK NIZAM MAHSHAR,MALE,,973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.013,KEDAH,P.013,SIK,63126,51161,,,,,,PAN,DATO' LATIFAH,FEMALE,,3736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.014,KEDAH,P.014,MERBOK,132444,102544,,,,,,,,,,,,,,,,IMAN,DATUK MOSIN RAZAK,MALE,,1201,,,,,,,,,,,WARISAN,KHAIRUL ANUAR,MALE,50,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.015,KEDAH,P.015,SUNGAI PETANI,168847,130004,,,,,,,,,,,,,,,,PEJUANG,HJ. MARZUKI YAHYA,MALE,52,2342,,,,,,,,,,,,,,,,PRM,TAN JOON LONG @ TAN CHOW KANG,MALE,80,226,,,,,,,,,,,,,,,,,,,,,,,,,
P.016,KEDAH,P.016,BALING,132099,109064,,,,,,PAN,CIKGU JOHARI ABDULLAH,MALE,69,8636,,,,,,PUTRA,LT KOL (B) BASIR,MALE,,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.017,KEDAH,P.017,PADANG SERAI,133867,91416,MIC,DATO SIVARAJ CHANDRAN,MALE,46,2983,,,,,,,,,,,PUTRA,HAMZAH ABD RAHMAN,MALE,,424,,,,,,,,,,,WARISAN,MOHD BAKHRI BIN HAJI HASHIM,MALE,,149,,,,,,,,,,,INDEPENDENT - HORSE,ANANDA AK,MALE,38,846,,,,,,,,,,,,,,,
P.018,KEDAH,P.018,KULIM-BANDAR BAHARU,90141,70340,,,,,,,,,,,,,,,,GB,RIZAL,MALE,,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.019,KELANTAN,P.019,TUMPAT,149371,104659,,,,,,PAN,HAJI WAN JO,MALE,57,7762,,,,,,PUTRA,ASRI ALI,MALE,,593,,,,,,,,,,,WARISAN,KHAIRUL AZUAN,MALE,,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.020,KELANTAN,P.020,PENGKALAN CHEPA,106982,77761,,,,,,PAN,KAK JAH,FEMALE,48,7356,,,,,,PEJUANG,WAN AHMAD NASRI,MALE,,358,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,ABE WAE - REDZUAN,MALE,48,451,,,,,,,,,,,,,,,
P.021,KELANTAN,P.021,KOTA BHARU,115450,78019,,,,,,,,,,,,,,,,PUTRA,PROF. DATO DR CHE MUSA CHE OMAR,MALE,,528,,,,,,,,,,,,,,,,PRM,ANDY TAN @ AWANG,MALE,54,107,,,,,,INDEPENDENT - PEN,IZAT BUKHARY,MALE,51,91,,,,,,,,,,,,,,,
P.022,KELANTAN,P.022,PASIR MAS,94544,65153,,,,,,PKR,DATUK HUSAM,MALE,63,6439,,,,,,PUTRA,NASRUL ALI HASAN,MALE,31,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.023,KELANTAN,P.023,RANTAU PANJANG,93248,60527,,,,,,PAN,DR SHAH,MALE,,4256,,,,,,PUTRA,DATO' DR. IBRAHIM ALI,MALE,71,1216,,,,,,,,,,,,,,,,PRM,DATUK ZAIN,MALE,,173,,,,,,,,,,,,,,,,,,,,,,,,,
P.024,KELANTAN,P.024,KUBANG KERIAN,113640,81384,,,,,,,,,,,,,,,,PEJUANG,RIZAL,MALE,,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.025,KELANTAN,P.025,BACHOK,123183,89913,,,,,,PKR,NOR AZMIZA MAMAT,FEMALE,38,4385,,,,,,PUTRA,CIKGU ZAM,MALE,,276,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,HAJI ZU,MALE,,423,,,,,,,,,,,,,,,
P.026,KELANTAN,P.026,KETEREH,85281,62862,,,,,,PKR,HAJI RAHIMI,MALE,53,4662,,,,,,PUTRA,HANEEF IBRAHIM (ABE HANEEF),MALE,,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.027,KELANTAN,P.027,TANAH MERAH,98782,69686,,,,,,PKR,DATO' D,MALE,62,5357,,,,,,PUTRA,LAWYER NASIR ABDULLAH,MALE,,168,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,DATUK NIK SAPEIA,MALE,68,101,,,,,,,,,,,,,,,
P.028,KELANTAN,P.028,PASIR PUTEH,113070,81319,,,,,,PAN,USTAZ MUHAMMAD HUSAIN,MALE,,3873,,,,,,PEJUANG,KAPTEN WAN MARZUDI,MALE,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.029,KELANTAN,P.029,MACHANG,88825,65114,,,,,,PKR,DR ROSLI,MALE,47,3934,,,,,,PUTRA,MEJAR (B) MAT,MALE,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.030,KELANTAN,P.030,JELI,59798,42953,,,,,,PAN,MD RADZI,MALE,51,1140,,,,,,PUTRA,PROFESSOR DR IR HJ MAT,MALE,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.031,KELANTAN,P.031,KUALA KRAI,92335,64681,,,,,,PAN,SYAM GHAZ,MALE,,4148,,,,,,PEJUANG,NORASHIKIN,FEMALE,,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.032,KELANTAN,P.032,GUA MUSANG,70254,48377,,,,,,PKR,ABE YO,MALE,48,4517,,,,,,PEJUANG,DATO' DR. ADABI,MALE,,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.033,TERENGGANU,P.033,BESUT,111650,85364,,,,,,PAN,USTAZ AZIZ,MALE,,4339,,,,,,PEJUANG,DATO' IR. WAN NAZARI,MALE,,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.034,TERENGGANU,P.034,SETIU,107294,84832,,,,,,PKR,MOHAMAD BIN NGAH,MALE,69,2125,,,,,,PEJUANG,WAN ADNAN,MALE,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.035,TERENGGANU,P.035,KUALA NERUS,105952,87628,,,,,,PAN,DATUK SERI SUHAIMI HASHIM,MALE,,3708,,,,,,PUTRA,AZAHA,MALE,,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.036,TERENGGANU,P.036,KUALA TERENGGANU,123305,96552,,,,,,PAN,DATO' RAJA BAHRIN,MALE,67,10946,,,,,,PUTRA,MOHAMAD ABU BAKAR BIN MUDA,MALE,57,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.037,TERENGGANU,P.037,MARANG,131756,109068,,,,,,PAN,USTAZ AZHAR,MALE,57,4140,,,,,,PUTRA,DR.ZARAWI BIN SULONG,MALE,,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.038,TERENGGANU,P.038,HULU TERENGGANU,87917,72008,,,,,,PKR,CIKGU ALIAS ISMAIL,MALE,54,1740,,,,,,PUTRA,KHADRI,MALE,49,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.039,TERENGGANU,P.039,DUNGUN,115559,91269,,,,,,PKR,DATO' DR MOHD JOHARI,MALE,51,5307,,,,,,PEJUANG,NORAISAH BINTI HASAN,FEMALE,32,322,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,PEGUAM GHAZALI,MALE,49,305,,,,,,,,,,,,,,,
P.040,TERENGGANU,P.040,KEMAMAN,139423,113095,,,,,,PKR,HASUNI BIN SUDIN,MALE,59,8340,,,,,,PEJUANG,ROSLI,MALE,,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.041,PULAU PINANG,P.041,KEPALA BATAS,83081,69302,,,,,,,,,,,,,,,,BERJASA,USTAZ HAMIDI ABU HASSAN,MALE,,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.042,PULAU PINANG,P.042,TASEK GELUGOR,80868,67112,,,,,,,,,,,,,,,,GB,DR. ABDUL HALIM,MALE,51,406,,,,,,,,,,,WARISAN,AKMAL AZHAR,MALE,35,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.043,PULAU PINANG,P.043,BAGAN,89447,68654,MCA,TAN CHUAN HONG,MALE,55,5385,,,,,,PPBM,ALAN OH,MALE,,6149,IMAN,HAFIZ,MALE,35,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.044,PULAU PINANG,P.044,PERMATANG PAUH,107186,87448,,,,,,,,,,,,,,,,PUTRA,CIKGU NASIR,MALE,,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.045,PULAU PINANG,P.045,BUKIT MERTAJAM,120819,92745,MCA,AH PANG,MALE,39,6986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.046,PULAU PINANG,P.046,BATU KAWAN,88812,68831,MCA,TAN LEE HUAT,MALE,55,7145,,,,,,,,,,,,,,,,,,,,,,,,,,WARISAN,ONG CHIN WEN,MALE,,450,PRM,LEE AH LEONG,MALE,75,148,,,,,,,,,,,,,,,,,,,,,,,,,
P.047,PULAU PINANG,P.047,NIBONG TEBAL,100062,79308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,GOH KHENG HUAT,MALE,60,565,,,,,,,,,,,,,,,
P.048,PULAU PINANG,P.048,BUKIT BENDERA,92521,62489,PCM,RICHIE HUAN XIN YUN,MALE,33,5417,,,,,,GERAKAN,HNG CHEE WEY,MALE,,6743,,,,,,,,,,,,,,,,,,,,,PRM,TEH YEE CHEU,MALE,64,677,,,,,,INDEPENDENT - PEN,RAZALIF ZAIN,MALE,,299,,,,,,,,,,,,,,,
P.049,PULAU PINANG,P.049,TANJONG,52803,37683,MCA,TAN KIM NEE,FEMALE,38,3214,,,,,,GERAKAN,AH LENG,MALE,58,2501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.050,PULAU PINANG,P.050,JELUTONG,93989,70707,IPF,DATUK LOGANATHAN A/L THORAISAMY,MALE,59,7387,,,,,,,,,,,,,,,,,,,,,,,,,,WARISAN,LIM HUAT POH (MARTIN),MALE,54,442,PRM,KOH SWE YONG,MALE,71,264,,,,,,INDEPENDENT - CHAIR,YACOOB BIN NOOR,MALE,33,480,,,,,,,,,,,,,,,
P.051,PULAU PINANG,P.051,BUKIT GELUGOR,117134,86073,MCA,WONG CHIN CHONG,MALE,48,6777,,,,,,PPBM,P. THINAGARANABHAN,MALE,41,8092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.052,PULAU PINANG,P.052,BAYAN BARU,119640,89708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WARISAN,JEFF OOI,MALE,67,440,PRM,RAVINDER SINGH,MALE,80,251,,,,,,INDEPENDENT - KEY,KAN CHEE YUEN,MALE,49,124,,,,,,,,,,,,,,,
P.053,PULAU PINANG,P.053,BALIK PULAU,80264,63911,,,,,,,,,,,,,,,,PEJUANG,FAZLI MOHAMMAD,MALE,47,341,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TRACTOR,DATO' SRI JOHNNY (DSJ),MALE,50,180,INDEPENDENT - TREE,DATO SRI SABARUDDIN BIN AHMAD,MALE,49,366,,,,,,,,,,
P.054,PERAK,P.054,GERIK,47565,34612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.055,PERAK,P.055,LENGGONG,36950,27679,,,,,,PKR,JUREY LATIFF ROSLI,MALE,56,3382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.056,PERAK,P.056,LARUT,65719,51875,,,,,,PAN,USTAZ ZOLKHARNAIN BIN ABIDIN,MALE,,6207,,,,,,BERJASA,USTAZ AUZAIE,MALE,47,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.057,PERAK,P.057,PARIT BUNTAR,68502,52903,,,,,,,,,,,,,,,,PEJUANG,HJ ROHIJAS,MALE,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.058,PERAK,P.058,BAGAN SERAI,80293,62533,,,,,,,,,,,,,,,,PEJUANG,HAJI AHMAD LUQMAN,MALE,,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.059,PERAK,P.059,BUKIT GANTANG,94253,71567,,,,,,,,,,,,,,,,PEJUANG,MOHD SHUKRI,MALE,,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.060,PERAK,P.060,TAIPING,121566,84769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,MOHGANAN A/L P MANIKAM,MALE,,236,INDEPENDENT - RABBIT,TS.DR.RAMA,MALE,,113,INDEPENDENT - SPECTACLES,LEOW THYE YIH,MALE,55,1154,,,,,
P.061,PERAK,P.061,PADANG RENGAS,38686,29878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.062,PERAK,P.062,SUNGAI SIPUT,72395,51649,,,,,,,,,,,,,,,,PEJUANG,AHMAD FAUZI BIN MOHD JAAFAR,MALE,49,784,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,INDRANI,FEMALE,50,614,INDEPENDENT - BOOK,HAJI BAHA,MALE,63,598,INDEPENDENT - DONKEY,RAJAH A/L NARASAIM,MALE,57,35,,,,,
P.063,PERAK,P.063,TAMBUN,160558,124819,,,,,,,,,,,,,,,,PEJUANG,ABDUL RAHIM TAHIR,MALE,,1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.064,PERAK,P.064,IPOH TIMOR,118178,79780,MCA,NG KAI CHEONG,MALE,38,8570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.065,PERAK,P.065,IPOH BARAT,114654,78356,MCA,AH NAN,MALE,39,7248,,,,,,GERAKAN,CHEK KWONG WENG,MALE,,6815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CLOCK,TAN SRI M KAYVEAS,MALE,68,378,,,,,,,,,,,,,,,
P.066,PERAK,P.066,BATU GAJAH,111896,74955,MCA,TEOH CHIN CHONG,MALE,63,6793,,,,,,GERAKAN,WOO CHEONG YUEN,MALE,,7163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
